ID,age,gender,pastvote_EURef,Vote2015R,social_grade,govregion,W8,starttime,endtime,disposition,Q1,Q2
251,64,1,1,2,1,5,.669420572528824,7/19/2016,7/19/2016,1,5,1
258,64,1,1,6,2,5,1.00614021293767,7/19/2016,7/19/2016,1,3,1
267,59,1,2,6,2,5,1.49888315143328,7/19/2016,7/19/2016,1,5,1
269,64,1,1,6,2,5,1.13119384276436,7/19/2016,7/19/2016,1,3,2
271,66,1,2,6,2,5,1.09309569541033,7/19/2016,7/19/2016,1,4,2
279,60,1,2,6,2,5,1.81593082120333,7/19/2016,7/19/2016,1,4,1
284,68,1,1,2,1,5,.618006882237092,7/19/2016,7/19/2016,1,3,2
298,35,2,3,1,2,5,1.73579850921157,7/19/2016,7/19/2016,1,3,3
299,68,2,2,1,1,5,1.00538830795915,7/19/2016,7/19/2016,1,2,1
330,49,2,1,1,1,5,.653653699826835,7/19/2016,7/19/2016,1,4,2
365,39,1,1,2,2,5,.852876432163881,7/19/2016,7/19/2016,1,2,1
374,70,1,3,3,1,5,1.34304709122531,7/19/2016,7/19/2016,1,3,1
379,59,1,2,6,2,5,1.81593082120333,7/19/2016,7/19/2016,1,3,1
391,41,1,1,6,2,5,.852346627734351,7/19/2016,7/19/2016,1,1,1
398,60,1,1,2,1,5,1.10765720960741,7/19/2016,7/19/2016,1,2,1
411,72,1,1,3,1,5,.612925530449306,7/19/2016,7/19/2016,1,3,1
414,48,2,1,6,1,5,.811451117382761,7/19/2016,7/19/2016,1,1,1
429,44,2,1,2,2,5,.758868801817885,7/19/2016,7/19/2016,1,1,1
432,38,1,1,6,2,5,1.14644423387642,7/19/2016,7/19/2016,1,1,1
435,64,1,1,6,1,5,.899841203803434,7/19/2016,7/19/2016,1,1,1
436,61,2,1,2,1,5,.707779897377645,7/19/2016,7/19/2016,1,1,2
443,42,2,2,6,2,5,1.06772746563006,7/19/2016,7/19/2016,1,2,2
445,44,1,1,6,2,5,1.14644423387642,7/19/2016,7/19/2016,1,2,1
454,33,1,1,5,1,5,1.09618326518028,7/19/2016,7/19/2016,1,2,1
471,42,2,1,2,1,5,.603664367981288,7/19/2016,7/19/2016,1,3,1
487,49,1,3,1,1,5,2.03776696731725,7/19/2016,7/19/2016,1,4,5
488,30,1,1,5,1,5,.638665924527947,7/19/2016,7/19/2016,1,1,1
496,35,1,2,6,1,5,1.67920458706081,7/19/2016,7/19/2016,1,3,1
508,58,1,1,6,1,5,.899841203803434,7/19/2016,7/19/2016,1,3,1
511,82,2,2,1,2,5,.927886678553948,7/19/2016,7/19/2016,1,5,1
521,56,2,1,2,1,5,.611858611533847,7/19/2016,7/19/2016,1,1,1
526,38,1,1,7,1,5,.638665924527947,7/19/2016,7/19/2016,1,2,1
535,59,1,2,4,2,5,.76503352741884,7/19/2016,7/19/2016,1,3,1
540,32,2,1,6,2,5,1.12973103604204,7/19/2016,7/19/2016,1,2,1
553,52,2,2,1,2,5,.797630209296692,7/19/2016,7/19/2016,1,5,1
558,35,2,1,6,1,5,.54336509567596,7/19/2016,7/19/2016,1,1,1
567,63,2,1,1,2,5,.637115658346439,7/19/2016,7/19/2016,1,3,1
586,59,2,2,6,1,5,1.23552477386433,7/19/2016,7/19/2016,1,4,1
588,69,1,2,6,1,5,1.1418103519963,7/19/2016,7/19/2016,1,4,1
594,42,2,1,6,2,5,.860336029698891,7/19/2016,7/19/2016,1,1,1
598,50,1,1,6,1,5,.983480135016693,7/19/2016,7/19/2016,1,1,2
629,28,2,1,2,1,5,.603664367981288,7/19/2016,7/19/2016,1,2,1
632,33,1,1,1,1,5,.717195243142505,7/19/2016,7/19/2016,1,2,1
649,59,2,2,6,2,5,1.42109430278878,7/19/2016,7/19/2016,1,4,1
